pool.channel.name.0001: "Guérilla Hurlante"
pool.channel.name.0002: "Faille Bénie"
pool.channel.name.0003: "Galerie Mystique"
pool.channel.name.0004: "Glu Sombre"
pool.channel.name.0005: "Orme Maudit"
pool.channel.name.0006: "Satiété d'Argent"
pool.channel.name.0007: "Fossile Divin"
pool.channel.name.0008: "Flux Sacré"
pool.channel.name.0009: "Fougère Hurlante"
pool.channel.name.0010: "Gothique Interdite"
pool.channel.name.0011: "Incandescence Cachée"
pool.channel.name.0012: "Devoir Hurlant"
pool.channel.name.0013: "Ancrage Nouveau"
pool.channel.name.0014: "Frustration Céleste"
pool.channel.name.0015: "Échec Sauvage"
pool.channel.name.0016: "Épiphanie Dorée"
pool.channel.name.0017: "Éventail d'Acier"
pool.channel.name.0018: "Provenance Mortelle"
pool.channel.name.0019: "Braise Mystique"
pool.channel.name.0020: "Étymologie Bénie"
pool.channel.name.0021: "Érudit Antique"
pool.channel.name.0022: "Flottaison Gelée"
pool.channel.name.0023: "Ceinture d'Émeraude"
pool.channel.name.0024: "Extraordinaire d'Argent"
pool.channel.name.0025: "Empreinte Holy"
pool.channel.name.0026: "Labeur Ancien"
pool.channel.name.0027: "Asile Létal"
pool.channel.name.0028: "Caravane Divine"
pool.channel.name.0029: "Antichambre Éclatante"
pool.channel.name.0030: "Redevance du Vide"
pool.channel.name.0031: "Graphisme de Fer"
pool.channel.name.0032: "Fission Brûlante"
pool.channel.name.0033: "Exception Éclatante"
pool.channel.name.0034: "Spire Sauvage"
pool.channel.name.0035: "Gamme Nouvelle"
pool.channel.name.0036: "Everest des Ombres"
pool.channel.name.0037: "Rempart Murmurant"
pool.channel.name.0038: "Pâtre Ancien"
pool.channel.name.0039: "Foyer Perdu"
pool.channel.name.0040: "Gravure Éclatante"
pool.channel.name.0041: "Grenouille Oubliée"
pool.channel.name.0042: "Encyclopédie Sauvage"
pool.channel.name.0043: "Hameçon Brûlant"
pool.channel.name.0044: "Descente Létale"
pool.channel.name.0045: "Moine Glacial"
pool.channel.name.0046: "Sourire Éclatant"
pool.channel.name.0047: "Artilleur du Vide"
pool.channel.name.0048: "Fidélité Dorée"
pool.channel.name.0049: "Carnage Oublié"
pool.channel.name.0050: "Coude Oublié"
pool.channel.name.0051: "Fourbi de Fer"
pool.channel.name.0052: "Liberté Céleste"
pool.channel.name.0053: "Formation Sacrée"
pool.channel.name.0054: "Clairière Abyssal"
pool.channel.name.0055: "Dysfonctionnement Sombre"
pool.channel.name.0056: "Paroxysme Sacré"
pool.channel.name.0057: "Gris Sacré"
pool.channel.name.0058: "Biens Perdus"
pool.channel.name.0059: "Grec Silencieux"
pool.channel.name.0060: "Oubli Glacial"
pool.channel.name.0061: "Couloir Béni"
pool.channel.name.0062: "Grâce Éthérée"
pool.channel.name.0063: "Félon Béni"
pool.channel.name.0064: "Confinement Doré"
pool.channel.name.0065: "Fantaisie Sacrée"
pool.channel.name.0066: "Désolation Antique"
pool.channel.name.0067: "Axe Perdu"
pool.channel.name.0068: "Départ Infernal"
pool.channel.name.0069: "Épicier Abyssal"
pool.channel.name.0070: "Étreinte Maudite"
pool.channel.name.0071: "Gobelin Primordial"
pool.channel.name.0072: "Gastrique Jeune"
pool.channel.name.0073: "Péril Éclatant"
pool.channel.name.0074: "Rumeur Céleste"
pool.channel.name.0075: "Griffe Sombre"
pool.channel.name.0076: "Conséquence Souillée"
pool.channel.name.0077: "Expresso Jeune"
pool.channel.name.0078: "Gros-bec d'Argent"
pool.channel.name.0079: "Gélatine Sacrée"
pool.channel.name.0080: "Gambade d'Acier"
pool.channel.name.0081: "Tampon Mortel"
pool.channel.name.0082: "Fille Glaciale"
pool.channel.name.0083: "Épave Primordiale"
pool.channel.name.0084: "Étranglement Sauvage"
pool.channel.name.0085: "Cénotaphe Silencieux"
pool.channel.name.0086: "Concours Sombre"
pool.channel.name.0087: "Bien d'Émeraude"
pool.channel.name.0088: "Fuite Oubliée"
pool.channel.name.0089: "Œil Souillé"
pool.channel.name.0090: "Effort Sombre"
pool.channel.name.0091: "Franc d'Acier"
pool.channel.name.0092: "Gypse Murmurant"
pool.channel.name.0093: "Éveil Éclatant"
pool.channel.name.0094: "Grognement Doré"
pool.channel.name.0095: "Pas d'Acier"
pool.channel.name.0096: "Digue d'Acier"
pool.channel.name.0097: "Brèche du Vide"
pool.channel.name.0098: "Pressentiment Éclatant"
pool.channel.name.0099: "Capsule Glaciale"
