pool.channel.name.0001: "Wrzeszczący Partyzant"
pool.channel.name.0002: "Błogosławiona Szczelina"
pool.channel.name.0003: "Mistyczna Galeria"
pool.channel.name.0004: "Mroczne Lepiszcze"
pool.channel.name.0005: "Przeklęty Wiąz"
pool.channel.name.0006: "Srebrny Przesyt"
pool.channel.name.0007: "Boska Skamielina"
pool.channel.name.0008: "Święty Przepływ"
pool.channel.name.0009: "Wrzeszcząca Paproć"
pool.channel.name.0010: "Zakazany Gotyk"
pool.channel.name.0011: "Ukryty Płomień"
pool.channel.name.0012: "Wrzeszczący Obowiązek"
pool.channel.name.0013: "Nowe Zakotwiczenie"
pool.channel.name.0014: "Niebiańska Frustracja"
pool.channel.name.0015: "Dzika Porażka"
pool.channel.name.0016: "Złote Objawienie"
pool.channel.name.0017: "Stalowy Wachlarz"
pool.channel.name.0018: "Zabójcze Pochodzenie"
pool.channel.name.0019: "Mistyczny Żar"
pool.channel.name.0020: "Błogosławiona Etymologia"
pool.channel.name.0021: "Pradawny Absolwent"
pool.channel.name.0022: "Lodowa Tratwa"
pool.channel.name.0023: "Szmaragdowy Pas"
pool.channel.name.0024: "Srebrna Osobliwość"
pool.channel.name.0025: "Holy Ślad"
pool.channel.name.0026: "Starsze Zatrudnienie"
pool.channel.name.0027: "Śmiertelny Azyl"
pool.channel.name.0028: "Boska Karawana"
pool.channel.name.0029: "Jasny Przedsionek"
pool.channel.name.0030: "Próżniowa Opłata"
pool.channel.name.0031: "Żelazna Grafika"
pool.channel.name.0032: "Płonące Rozszczepienie"
pool.channel.name.0033: "Jasny Wyjątek"
pool.channel.name.0034: "Dzika Cewka"
pool.channel.name.0035: "Nowa Skala"
pool.channel.name.0036: "Cienisty Szczyt"
pool.channel.name.0037: "Szepczący Bastion"
pool.channel.name.0038: "Starszy Pasterz"
pool.channel.name.0039: "Zagubiony Hol"
pool.channel.name.0040: "Jasna Rycina"
pool.channel.name.0041: "Zapomniana Żaba"
pool.channel.name.0042: "Dzika Encyklopedia"
pool.channel.name.0043: "Płonący Haczyk"
pool.channel.name.0044: "Śmiertelne Zejście"
pool.channel.name.0045: "Zimny Mnich"
pool.channel.name.0046: "Jasny Uśmiech"
pool.channel.name.0047: "Próżniowy Kanonier"
pool.channel.name.0048: "Złota Wierność"
pool.channel.name.0049: "Zapomniana Masakra"
pool.channel.name.0050: "Zapomniany Łokieć"
pool.channel.name.0051: "Żelazny Blask"
pool.channel.name.0052: "Niebiańska Wolność"
pool.channel.name.0053: "Święty Szyk"
pool.channel.name.0054: "Otchłanna Polana"
pool.channel.name.0055: "Mroczna Dysfunkcja"
pool.channel.name.0056: "Święty Wzór"
pool.channel.name.0057: "Święta Szarość"
pool.channel.name.0058: "Zagubiony Towary"
pool.channel.name.0059: "Cichy Grek"
pool.channel.name.0060: "Zimne Zapomnienie"
pool.channel.name.0061: "Błogosławiony Korytarz"
pool.channel.name.0062: "Eteryczna Łaska"
pool.channel.name.0063: "Błogosławiony Zbrodniarz"
pool.channel.name.0064: "Złote Odosobnienie"
pool.channel.name.0065: "Święta Fantazja"
