pool.channel.name.0001: "Вопящий Мятежник"
pool.channel.name.0002: "Благословенный Разлом"
pool.channel.name.0003: "Мистическая Галерея"
pool.channel.name.0004: "Темный Сгусток"
pool.channel.name.0005: "Проклятый Вяз"
pool.channel.name.0006: "Серебряный Избыток"
pool.channel.name.0007: "Божественные Останки"
pool.channel.name.0008: "Священный Поток"
pool.channel.name.0009: "Вопящий Папоротник"
pool.channel.name.0010: "Запретный Собор"
pool.channel.name.0011: "Скрытый Огонь"
pool.channel.name.0012: "Вопящий Долг"
pool.channel.name.0013: "Новый Оплот"
pool.channel.name.0014: "Небесный Крах"
pool.channel.name.0015: "Дикий Провал"
pool.channel.name.0016: "Золотое Прозрение"
pool.channel.name.0017: "Стальной Веер"
pool.channel.name.0018: "Смертоносный Исток"
pool.channel.name.0019: "Мистический Уголь"
pool.channel.name.0020: "Благословенное Слово"
pool.channel.name.0021: "Древний Магистр"
pool.channel.name.0022: "Замерзший Поплавок"
pool.channel.name.0023: "Изумрудный Пояс"
pool.channel.name.0024: "Серебряный Феномен"
pool.channel.name.0025: "Святой След"
pool.channel.name.0026: "Старший Наем"
pool.channel.name.0027: "Смертельный Приют"
pool.channel.name.0028: "Божественный Караван"
pool.channel.name.0029: "Сияющий Вестибюль"
pool.channel.name.0030: "Пустотная Мзда"
pool.channel.name.0031: "Железный Символ"
pool.channel.name.0032: "Пылающий Распад"
pool.channel.name.0033: "Сияющое Исключение"
pool.channel.name.0034: "Дикий Спираль"
pool.channel.name.0035: "Новая Гамма"
pool.channel.name.0036: "Теневой Пик"
pool.channel.name.0037: "Шепчущий Бастион"
pool.channel.name.0038: "Старший Пастух"
pool.channel.name.0039: "Потерянное Фойе"
pool.channel.name.0040: "Сияющая Гравюра"
pool.channel.name.0041: "Забытая Лягушка"
pool.channel.name.0042: "Дикий Кодекс"
pool.channel.name.0043: "Пылающий Крючок"
pool.channel.name.0044: "Смертельный Спуск"
pool.channel.name.0045: "Холодный Монах"
pool.channel.name.0046: "Сияющий Оскал"
pool.channel.name.0047: "Пустотный Стрелок"
pool.channel.name.0048: "Золотой Верность"
pool.channel.name.0049: "Забытый Ужас"
pool.channel.name.0050: "Забытый Изгиб"
pool.channel.name.0051: "Железный Блеск"
pool.channel.name.0052: "Небесная Свобода"
pool.channel.name.0053: "Священное Построение"
pool.channel.name.0054: "Бездная Прогалина"
pool.channel.name.0055: "Темный Разлад"
pool.channel.name.0056: "Священное Воплощение"
pool.channel.name.0057: "Священный Пепел"
pool.channel.name.0058: "Потерянные Товары"
pool.channel.name.0059: "Безмолвный Грек"
pool.channel.name.0060: "Холодное Забвение"
pool.channel.name.0061: "Благословенный Коридор"
pool.channel.name.0062: "Эфирный Благодать"
pool.channel.name.0063: "Благословенный Преступник"
pool.channel.name.0064: "Золотое Сдерживание"
pool.channel.name.0065: "Священная Причуда"
pool.channel.name.0066: "Древний Мрак"
pool.channel.name.0067: "Потерянный Ось"
pool.channel.name.0068: "Адский Путь"
pool.channel.name.0069: "Бездный Лавочник"
pool.channel.name.0070: "Проклятое Объятие"
pool.channel.name.0071: "Первобытный Гоблин"
pool.channel.name.0072: "Юный Желудок"
pool.channel.name.0073: "Сияющая Угроза"
pool.channel.name.0074: "Небесная Сплетня"
pool.channel.name.0075: "Темный Коготь"
pool.channel.name.0076: "Оскверненное Последствие"
pool.channel.name.0077: "Юное Кофе"
pool.channel.name.0078: "Серебряный Дубонос"
pool.channel.name.0079: "Священный Слизь"
pool.channel.name.0080: "Стальной Прыжок"
pool.channel.name.0081: "Смертоносный Буфер"
pool.channel.name.0082: "Холодная Дева"
pool.channel.name.0083: "Первобытный Покинутый"
pool.channel.name.0084: "Дикий Захват"
pool.channel.name.0085: "Безмолвный Кенотаф"
pool.channel.name.0086: "Темное Стечение"
pool.channel.name.0087: "Изумрудное Благо"
pool.channel.name.0088: "Забытый Побег"
pool.channel.name.0089: "Оскверненное Око"
pool.channel.name.0090: "Темное Усилие"
pool.channel.name.0091: "Стальной Откровенность"
pool.channel.name.0092: "Шепчущий Гипс"
pool.channel.name.0093: "Сияющое Просвещение"
pool.channel.name.0094: "Золотое Ворчание"
pool.channel.name.0095: "Стальной Шаг"
pool.channel.name.0096: "Стальная Дамба"
pool.channel.name.0097: "Пустотный Разрыв"
pool.channel.name.0098: "Сияющое Предвестие"
pool.channel.name.0099: "Холодная Капсула"
pool.channel.name.0100: "Божественный Склеп"
pool.channel.name.0101: "Небесный Стадность"
pool.channel.name.0102: "Бездный Джентльмен"
pool.channel.name.0103: "Шепчущий Заводь"
pool.channel.name.0104: "Святой Изгиб"
pool.channel.name.0105: "Золотой Ропот"
pool.channel.name.0106: "Потерянная Громада"
pool.channel.name.0107: "Первобытный Спутник"
pool.channel.name.0108: "Проклятая Лощина"
pool.channel.name.0109: "Замерзший Рубеж"
pool.channel.name.0110: "Святая Беседка"
pool.channel.name.0111: "Старшая Корона"
pool.channel.name.0112: "Пылающий Гротеск"
pool.channel.name.0113: "Смертельное Эхо"
pool.channel.name.0114: "Мистическая Черта"
pool.channel.name.0115: "Золотая Цистерна"
pool.channel.name.0116: "Смертоносная Окова"
pool.channel.name.0117: "Раскаленный Сбор"
pool.channel.name.0118: "Скрытая Горстка"
pool.channel.name.0119: "Сияющая Усадьба"
pool.channel.name.0120: "Теневая Землянка"
pool.channel.name.0121: "Железный Лесть"
pool.channel.name.0122: "Безмолвная Окраина"
pool.channel.name.0123: "Замерзший Прочность"
pool.channel.name.0124: "Золотой Выстрел"
pool.channel.name.0125: "Замерзший Уровец"
pool.channel.name.0126: "Серебряное Наполнение"
pool.channel.name.0127: "Мистический Причал"
pool.channel.name.0128: "Священный Изумруд"
pool.channel.name.0129: "Мистическое Посольство"
pool.channel.name.0130: "Мистическая Твердыня"
pool.channel.name.0131: "Ржавое Красноречие"
pool.channel.name.0132: "Божественная Балка"
pool.channel.name.0133: "Новая Флейта"
pool.channel.name.0134: "Смертоносный Хрупкость"
pool.channel.name.0135: "Темная Гримаса"
pool.channel.name.0136: "Темное Стремление"
pool.channel.name.0137: "Сияющое Высочество"
pool.channel.name.0138: "Запретный Фавн"
pool.channel.name.0139: "Старший Подъемник"
pool.channel.name.0140: "Юная Рапира"
pool.channel.name.0141: "Теневой Отец"
pool.channel.name.0142: "Вопящое Величие"
pool.channel.name.0143: "Запретный Флот"
pool.channel.name.0144: "Благословенный Спор"
pool.channel.name.0145: "Изумрудный Лес"
pool.channel.name.0146: "Холодный Георг"
pool.channel.name.0147: "Забытая Борзая"
pool.channel.name.0148: "Железный Проблеск"
pool.channel.name.0149: "Мистический Бассейн"
pool.channel.name.0150: "Потерянный Ярость"
pool.channel.name.0151: "Дикий Ледник"
pool.channel.name.0152: "Адская Хватка"
pool.channel.name.0153: "Золотой Выдох"
pool.channel.name.0154: "Первобытный Блик"
pool.channel.name.0155: "Юная Кабала"
pool.channel.name.0156: "Запретный Равноудаленность"
pool.channel.name.0157: "Темный Праздник"
pool.channel.name.0158: "Старшое Измерение"
pool.channel.name.0159: "Шепчущое Открытие"
pool.channel.name.0160: "Изумрудный Подлинность"
pool.channel.name.0161: "Замерзший Раздор"
pool.channel.name.0162: "Железный Амбар"
pool.channel.name.0163: "Смертельное Зерно"
pool.channel.name.0164: "Сияющий Цилиндр"
pool.channel.name.0165: "Бездная Мука"
pool.channel.name.0166: "Потерянный Гиббон"
pool.channel.name.0167: "Адский Штраф"
pool.channel.name.0168: "Первобытный Конверт"
pool.channel.name.0169: "Смертоносное Поколение"
pool.channel.name.0170: "Серебряный Конюх"
pool.channel.name.0171: "Раскаленный Покинутый"
pool.channel.name.0172: "Смертельный Захват"
pool.channel.name.0173: "Святой Усталость"
pool.channel.name.0174: "Святой Способность"
pool.channel.name.0175: "Холодный Пескарь"
pool.channel.name.0176: "Дикая Инженерия"
pool.channel.name.0177: "Старший Цеп"
pool.channel.name.0178: "Дикий Грозный"
pool.channel.name.0179: "Замерзшая Императрица"
pool.channel.name.0180: "Новое Упражнение"
pool.channel.name.0181: "Эфирная Эпитафия"
pool.channel.name.0182: "Священный Губернатор"
pool.channel.name.0183: "Потерянный Сущность"
pool.channel.name.0184: "Первобытная Восьмерка"
pool.channel.name.0185: "Раскаленный Алмаз"
pool.channel.name.0186: "Сияющий Огонь"
pool.channel.name.0187: "Смертельный Бережливость"
pool.channel.name.0188: "Пылающий Ручей"
pool.channel.name.0189: "Шепчущий Крайность"
pool.channel.name.0190: "Священный Церковь"
pool.channel.name.0191: "Скрытый Выносливость"
pool.channel.name.0192: "Теневой Выброс"
pool.channel.name.0193: "Божественный Бурав"
pool.channel.name.0194: "Шепчущое Выселение"
pool.channel.name.0195: "Скрытая Обстановка"
pool.channel.name.0196: "Сияющий Градиент"
pool.channel.name.0197: "Старший Жуткий"
pool.channel.name.0198: "Старшое Орудие"
pool.channel.name.0199: "Сияющий Прозорливость"
pool.channel.name.0200: "Пылающий Герань"
pool.channel.name.0201: "Холодное Приветствие"
pool.channel.name.0202: "Забытая Поляна"
pool.channel.name.0203: "Небесный Фланг"
pool.channel.name.0204: "Проклятое Журчание"
pool.channel.name.0205: "Божественная Грызня"
pool.channel.name.0206: "Проклятый Док"
pool.channel.name.0207: "Ржавый Фанатик"
pool.channel.name.0208: "Проклятый Чрезвычайность"
pool.channel.name.0209: "Эфирная Свалка"
pool.channel.name.0210: "Ржавое Тяготение"
pool.channel.name.0211: "Божественное Подражание"
pool.channel.name.0212: "Замерзшое Иное"
pool.channel.name.0213: "Старший Глазной зуб"
pool.channel.name.0214: "Новая Хижина"
pool.channel.name.0215: "Юный Милость"
pool.channel.name.0216: "Адский Трепет"
pool.channel.name.0217: "Благословенный Стимул"
pool.channel.name.0218: "Пылающое Ускользание"
pool.channel.name.0219: "Пылающий Порочность"
pool.channel.name.0220: "Юный Овраг"
pool.channel.name.0221: "Пустотная Глубина"
pool.channel.name.0222: "Небесная Работяга"
pool.channel.name.0223: "Ржавый Промысел"
pool.channel.name.0224: "Темная Эссенция"
pool.channel.name.0225: "Сияющое Чучело"
pool.channel.name.0226: "Старшая Лихорадка"
pool.channel.name.0227: "Оскверненное Злорадство"
pool.channel.name.0228: "Шепчущий Хрящ"
pool.channel.name.0229: "Холодная Выставка"
pool.channel.name.0230: "Священный Окуляр"
pool.channel.name.0231: "Раскаленный Глазурь"
pool.channel.name.0232: "Запретное Соединение"
pool.channel.name.0233: "Священный Исполнитель"
pool.channel.name.0234: "Бездный Слон"
pool.channel.name.0235: "Холодная Вспышка"
pool.channel.name.0236: "Серебряное Правление"
pool.channel.name.0237: "Юная Эмоция"
pool.channel.name.0238: "Сияющая Частота"
pool.channel.name.0239: "Святой Феод"
pool.channel.name.0240: "Юная Граната"
pool.channel.name.0241: "Юный Пример"
pool.channel.name.0242: "Юное Воплощение"
pool.channel.name.0243: "Вопящий Галлон"
pool.channel.name.0244: "Святой Чеснок"
pool.channel.name.0245: "Старший Случайность"
pool.channel.name.0246: "Запретное Прощение"
pool.channel.name.0247: "Скрытая Зевака"
pool.channel.name.0248: "Пустотный Светляк"
pool.channel.name.0249: "Вопящий Дуэль"
pool.channel.name.0250: "Дикое Сближение"
pool.channel.name.0251: "Раскаленное Извержение"
pool.channel.name.0252: "Пылающая Муха"
pool.channel.name.0253: "Божественный Первый"
pool.channel.name.0254: "Золотой Финал"
pool.channel.name.0255: "Дикая Бухта"
pool.channel.name.0256: "Шепчущое Усиление"
pool.channel.name.0257: "Мистический Даль"
pool.channel.name.0258: "Изумрудная Громадина"
pool.channel.name.0259: "Оскверненный Купол"
pool.channel.name.0260: "Золотая Община"
pool.channel.name.0261: "Вопящий Акциз"
pool.channel.name.0262: "Бездный Пыл"
pool.channel.name.0263: "Запретное Направление"
pool.channel.name.0264: "Проклятое Хихиканье"
pool.channel.name.0265: "Оскверненная Ямочка"
pool.channel.name.0266: "Юное Прощание"
pool.channel.name.0267: "Священное Первенство"
pool.channel.name.0268: "Скрытый Факт"
pool.channel.name.0269: "Сияющое Посягательство"
pool.channel.name.0270: "Адское Утопление"
