pool.channel.name.0001: "Krijsende Guerilla"
pool.channel.name.0002: "Gezegende Breuk"
pool.channel.name.0003: "Mystieke Galerij"
pool.channel.name.0004: "Duistere Hars"
pool.channel.name.0005: "Vervloekte Olm"
pool.channel.name.0006: "Zilveren Overvloed"
pool.channel.name.0007: "Goddelijk Fossiel"
pool.channel.name.0008: "Heilige Flux"
pool.channel.name.0009: "Krijsende Varen"
pool.channel.name.0010: "Verboden Gotiek"
pool.channel.name.0011: "Verborgen Vurigheid"
pool.channel.name.0012: "Krijsende Plicht"
pool.channel.name.0013: "Nieuwe Herstelling"
pool.channel.name.0014: "Hemelse Frustratie"
pool.channel.name.0015: "Wilde Mislukking"
pool.channel.name.0016: "Gouden Openbaring"
pool.channel.name.0017: "Stalen Waaier"
pool.channel.name.0018: "Dodelijke Gedaante"
pool.channel.name.0019: "Mystieke Sintel"
pool.channel.name.0020: "Gezegende Etymologie"
pool.channel.name.0021: "Eeuwenoude Afgestudeerde"
pool.channel.name.0022: "Bevroren Vlot"
pool.channel.name.0023: "Smaragden Gordel"
pool.channel.name.0024: "Zilveren Buitengewoonheid"
pool.channel.name.0025: "Heilige Voetafdruk"
pool.channel.name.0026: "Oude Dienst"
pool.channel.name.0027: "Fataal Gesticht"
pool.channel.name.0028: "Goddelijke Karavaan"
pool.channel.name.0029: "Stralend Voorportaal"
pool.channel.name.0030: "Leegte Tol"
pool.channel.name.0031: "IJzeren Grafiek"
pool.channel.name.0032: "Brandende Splijting"
pool.channel.name.0033: "Stralende Uitzondering"
pool.channel.name.0034: "Wilde Spiraal"
pool.channel.name.0035: "Nieuw Scala"
pool.channel.name.0036: "Schaduw Everest"
pool.channel.name.0037: "Fluisterend Bolwerk"
pool.channel.name.0038: "Oude Veedrijver"
pool.channel.name.0039: "Verloren Foyer"
pool.channel.name.0040: "Stralende Gravure"
pool.channel.name.0041: "Vergeten Kikker"
pool.channel.name.0042: "Wilde Encyclopedie"
pool.channel.name.0043: "Brandende Vishaak"
pool.channel.name.0044: "Fatale Afdaling"
pool.channel.name.0045: "Koude Monnik"
pool.channel.name.0046: "Stralende Grijns"
pool.channel.name.0047: "Leegte Schutter"
pool.channel.name.0048: "Gouden Getrouwheid"
pool.channel.name.0049: "Vergeten Bloederigheid"
pool.channel.name.0050: "Vergeten Elleboog"
pool.channel.name.0051: "IJzeren Poets"
pool.channel.name.0052: "Hemelse Vrijheid"
pool.channel.name.0053: "Heilige Formatie"
pool.channel.name.0054: "Afgrondelijke Open Plek"
pool.channel.name.0055: "Duistere Disfunctie"
pool.channel.name.0056: "Heilig Toonbeeld"
pool.channel.name.0057: "Heilig Grijs"
pool.channel.name.0058: "Verloren Goederen"
pool.channel.name.0059: "Stille Griek"
pool.channel.name.0060: "Koude Vergetelheid"
pool.channel.name.0061: "Gezegende Corridor"
pool.channel.name.0062: "Etherische Genade"
pool.channel.name.0063: "Gezegende Misdadiger"
pool.channel.name.0064: "Gouden Insluiting"
pool.channel.name.0065: "Heilige Fantasie"
pool.channel.name.0066: "Eeuwenoude Naargeestigheid"
pool.channel.name.0067: "Verloren As"
pool.channel.name.0068: "Helse Gang"
pool.channel.name.0069: "Afgrondelijke Kruidenier"
pool.channel.name.0070: "Vervloekte Omhelzing"
pool.channel.name.0071: "Oer-Goblin"
pool.channel.name.0072: "Jonge Maag"
pool.channel.name.0073: "Stralende Bedreiging"
pool.channel.name.0074: "Hemelse Roddel"
pool.channel.name.0075: "Duistere Klauw"
pool.channel.name.0076: "Bezoedeld Gevolg"
pool.channel.name.0077: "Jonge Espresso"
pool.channel.name.0078: "Zilveren Dikbek"
pool.channel.name.0079: "Heilige Gelatine"
pool.channel.name.0080: "Stalen Darteling"
pool.channel.name.0081: "Dodelijke Buffer"
pool.channel.name.0082: "Koude Meid"
pool.channel.name.0083: "Oer-Wrak"
pool.channel.name.0084: "Wilde Wurggreep"
pool.channel.name.0085: "Stille Cenotaaf"
pool.channel.name.0086: "Duister Plein"
pool.channel.name.0087: "Smaragden Goed"
pool.channel.name.0088: "Vergeten Vlucht"
pool.channel.name.0089: "Bezoedeld Oog"
pool.channel.name.0090: "Duistere Inspanning"
pool.channel.name.0091: "Stalen Frank"
pool.channel.name.0092: "Fluisterend Gips"
pool.channel.name.0093: "Stralende Verlichting"
pool.channel.name.0094: "Gouden Grunt"
pool.channel.name.0095: "Stalen Voetstap"
pool.channel.name.0096: "Stalen Dijk"
pool.channel.name.0097: "Leegte Kloof"
pool.channel.name.0098: "Stralend Voorgevoel"
pool.channel.name.0099: "Koude Capsule"
pool.channel.name.0100: "Goddelijke Crypte"
pool.channel.name.0101: "Hemelse Sociaalheid"
pool.channel.name.0102: "Afgrondelijke Heer"
pool.channel.name.0103: "Fluisterend Achterwater"
pool.channel.name.0104: "Heilige Bocht"
pool.channel.name.0105: "Gouden Geknor"
pool.channel.name.0106: "Verloren Enormiteit"
pool.channel.name.0107: "Oer-Metgezel"
pool.channel.name.0108: "Vervloekt Dal"
pool.channel.name.0109: "Bevroren Grens"
pool.channel.name.0110: "Heilig Prieel"
pool.channel.name.0111: "Oude Kroon"
pool.channel.name.0112: "Brandende Groteske"
pool.channel.name.0113: "Fatale Echo"
pool.channel.name.0114: "Mystiek Kenmerk"
pool.channel.name.0115: "Gouden Waterbak"
pool.channel.name.0116: "Dodelijke Boei"
pool.channel.name.0117: "Gloeiende Aar"
pool.channel.name.0118: "Verborgen Weinigen"
pool.channel.name.0119: "Stralende Pachthoeve"
pool.channel.name.0120: "Schaduw Schuilplaats"
pool.channel.name.0121: "IJzeren Vleier"
pool.channel.name.0122: "Stille Rand"
pool.channel.name.0123: "Bevroren Duurzaamheid"
pool.channel.name.0124: "Gouden Schot"
pool.channel.name.0125: "Bevroren Gedrocht"
pool.channel.name.0126: "Zilveren Vulling"
